('Total Revenue', '281,724,000 ', '281,724,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ')
         902524 function calls (875473 primitive calls) in 10.480 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.004    0.001 utils.py:755(should_bypass_proxies)
  743/677    0.002    0.000    0.004    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.004    0.004 status_codes.py:1(<module>)
        1    0.000    0.000    0.004    0.004 base64mime.py:1(<module>)
        1    0.001    0.001    0.004    0.004 status_codes.py:109(_init)
       64    0.001    0.000    0.004    0.000 enum.py:354(__setitem__)
        1    0.000    0.000    0.004    0.004 request.py:910(AbstractBasicAuthHandler)
      641    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        1    0.000    0.000    0.003    0.003 cookiejar.py:1247(CookieJar)
        7    0.000    0.000    0.003    0.000 feedparser.py:178(_call_parse)
        1    0.000    0.000    0.003    0.003 sessions.py:302(rebuild_proxies)
      641    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        7    0.000    0.000    0.003    0.000 feedparser.py:218(_parsegen)
        1    0.000    0.000    0.003    0.003 random.py:1(<module>)
        1    0.000    0.000    0.003    0.003 utils.py:854(resolve_proxies)
        1    0.000    0.000    0.003    0.003 ipaddress.py:1579(_IPv4Constants)
     1034    0.003    0.000    0.003    0.000 {built-in method fromkeys}
        9    0.000    0.000    0.003    0.000 cookiejar.py:950(set_ok)
        1    0.000    0.000    0.003    0.003 dammit.py:734(UnicodeDammit)
